"selection1_batsmen_name","selection1_batsmen_Out_NotOut","selection1_batsmen_Runs","selection1_batsmen_Balls","selection1_batsmen_Fours","selection1_batsmen_Sixes","selection1_batsmen_Strike_Rate","selection1_batsmen_Team","selection1_batsmen_Match_No"
"Cameron Green","not out","3","3","0","0","100.00","Mumbai Indians","57th Match (N), Wankhede, May 12, 2023,
Indian Premier League"
"Chris Jordan,","","Did not bat:","","","","","",""
"Piyush Chawla,","","Did not bat:","","","","","",""
"Jason Behrendorff,","","Did not bat:","","","","","",""
"Kumar Kartikeya","","Did not bat:","","","","","",""
"Wriddhiman Saha †","lbw b Madhwal","2","5","0","0","40.00","Gujarat Titans","57th Match (N), Wankhede, May 12, 2023,
Indian Premier League"
"Shubman Gill","b Madhwal","6","9","0","0","66.66","Gujarat Titans","57th Match (N), Wankhede, May 12, 2023,
Indian Premier League"
"Hardik Pandya (c)","c †Ishan Kishan b Behrendorff","4","3","1","0","133.33","Gujarat Titans","57th Match (N), Wankhede, May 12, 2023,
Indian Premier League"
"Vijay Shankar","b Chawla","29","14","6","0","207.14","Gujarat Titans","57th Match (N), Wankhede, May 12, 2023,
Indian Premier League"
"David Miller","lbw b Madhwal","41","26","4","2","157.69","Gujarat Titans","57th Match (N), Wankhede, May 12, 2023,
Indian Premier League"
"Abhinav Manohar","b Kartikeya","2","3","0","0","66.66","Gujarat Titans","57th Match (N), Wankhede, May 12, 2023,
Indian Premier League"
"Rahul Tewatia","c Green b Chawla","14","13","1","0","107.69","Gujarat Titans","57th Match (N), Wankhede, May 12, 2023,
Indian Premier League"
"Rashid Khan","not out","79","32","3","10","246.87","Gujarat Titans","57th Match (N), Wankhede, May 12, 2023,
Indian Premier League"
"Noor Ahmad","b Kartikeya","1","3","0","0","33.33","Gujarat Titans","57th Match (N), Wankhede, May 12, 2023,
Indian Premier League"
"Alzarri Joseph","not out","7","12","1","0","58.33","Gujarat Titans","57th Match (N), Wankhede, May 12, 2023,
Indian Premier League"
"Mohammed Shami","","Did not bat:","","","","","",""
"Anmolpreet Singh","c & b Mishra","36","27","7","0","133.33","Sunrisers Hyderabad","58th Match (D/N), Hyderabad, May 13, 2023,
Indian Premier League"
"Abhishek Sharma","c †de Kock b Yudhvir Singh","7","5","1","0","140.00","Sunrisers Hyderabad","58th Match (D/N), Hyderabad, May 13, 2023,
Indian Premier League"
"Rahul Tripathi","c †de Kock b Yash Thakur","20","13","4","0","153.84","Sunrisers Hyderabad","58th Match (D/N), Hyderabad, May 13, 2023,
Indian Premier League"
"Aiden Markram (c)","st †de Kock b Pandya","28","20","2","1","140.00","Sunrisers Hyderabad","58th Match (D/N), Hyderabad, May 13, 2023,
Indian Premier League"
"Heinrich Klaasen †","c Mankad b Avesh Khan","47","29","3","3","162.06","Sunrisers Hyderabad","58th Match (D/N), Hyderabad, May 13, 2023,
Indian Premier League"
"Glenn Phillips","b Pandya","0","1","0","0","0.00","Sunrisers Hyderabad","58th Match (D/N), Hyderabad, May 13, 2023,
Indian Premier League"
"Abdul Samad","not out","37","25","1","4","148.00","Sunrisers Hyderabad","58th Match (D/N), Hyderabad, May 13, 2023,
Indian Premier League"
"Bhuvneshwar Kumar","not out","2","1","0","0","200.00","Sunrisers Hyderabad","58th Match (D/N), Hyderabad, May 13, 2023,
Indian Premier League"
"T Natarajan,","","Did not bat:","","","","","",""
"Mayank Markande,","","Did not bat:","","","","","",""
"Fazalhaq Farooqi","","Did not bat:","","","","","",""
"Kyle Mayers","c Markram b Phillips","2","14","0","0","14.28","Lucknow Super Giants","58th Match (D/N), Hyderabad, May 13, 2023,
Indian Premier League"
"Quinton de Kock †","c Abhishek Sharma b Markande","29","19","3","1","152.63","Lucknow Super Giants","58th Match (D/N), Hyderabad, May 13, 2023,
Indian Premier League"
"Prerak Mankad","not out","64","45","7","2","142.22","Lucknow Super Giants","58th Match (D/N), Hyderabad, May 13, 2023,
Indian Premier League"
"Marcus Stoinis","c Abdul Samad b Abhishek Sharma","40","25","2","3","160.00","Lucknow Super Giants","58th Match (D/N), Hyderabad, May 13, 2023,
Indian Premier League"
"Nicholas Pooran","not out","44","13","3","4","338.46","Lucknow Super Giants","58th Match (D/N), Hyderabad, May 13, 2023,
Indian Premier League"
"Krunal Pandya (c),","","Did not bat:","","","","","",""
"Yash Thakur,","","Did not bat:","","","","","",""
"Ravi Bishnoi,","","Did not bat:","","","","","",""
"Yudhvir Singh,","","Did not bat:","","","","","",""
"Avesh Khan,","","Did not bat:","","","","","",""
"Ayush Badoni","","Did not bat:","","","","","",""
"Prabhsimran Singh","b Mukesh Kumar","103","65","10","6","158.46","Punjab Kings","59th Match (N), Delhi, May 13, 2023,
Indian Premier League"
"Shikhar Dhawan (c)","c Rossouw b Sharma","7","5","0","1","140.00","Punjab Kings","59th Match (N), Delhi, May 13, 2023,
Indian Premier League"
"Liam Livingstone","b Sharma","4","5","1","0","80.00","Punjab Kings","59th Match (N), Delhi, May 13, 2023,
Indian Premier League"
"Jitesh Sharma †","b Patel","5","5","1","0","100.00","Punjab Kings","59th Match (N), Delhi, May 13, 2023,
Indian Premier League"
"Sam Curran","c Aman Hakim Khan b Dubey","20","24","1","0","83.33","Punjab Kings","59th Match (N), Delhi, May 13, 2023,
Indian Premier League"
"Harpreet Brar","c Marsh b Kuldeep Yadav","2","5","0","0","40.00","Punjab Kings","59th Match (N), Delhi, May 13, 2023,
Indian Premier League"
"M Shahrukh Khan","run out (†Salt/Ahmed)","2","4","0","0","50.00","Punjab Kings","59th Match (N), Delhi, May 13, 2023,
Indian Premier League"
"Sikandar Raza","not out","11","7","0","1","157.14","Punjab Kings","59th Match (N), Delhi, May 13, 2023,
Indian Premier League"
"Rishi Dhawan","not out","0","0","0","0","-","Punjab Kings","59th Match (N), Delhi, May 13, 2023,
Indian Premier League"
"Rahul Chahar,","","Did not bat:","","","","","",""
"Arshdeep Singh","","Did not bat:","","","","","",""
"David Warner (c)","lbw b Harpreet Brar","54","27","10","1","200.00","Delhi Capitals","59th Match (N), Delhi, May 13, 2023,
Indian Premier League"
"Phil Salt †","b Harpreet Brar","21","17","3","0","123.52","Delhi Capitals","59th Match (N), Delhi, May 13, 2023,
Indian Premier League"
"Mitchell Marsh","lbw b Chahar","3","4","0","0","75.00","Delhi Capitals","59th Match (N), Delhi, May 13, 2023,
Indian Premier League"
"Rilee Rossouw","c Sikandar Raza b Harpreet Brar","5","5","1","0","100.00","Delhi Capitals","59th Match (N), Delhi, May 13, 2023,
Indian Premier League"
"Axar Patel","lbw b Chahar","1","2","0","0","50.00","Delhi Capitals","59th Match (N), Delhi, May 13, 2023,
Indian Premier League"
"Manish Pandey","b Harpreet Brar","0","3","0","0","0.00","Delhi Capitals","59th Match (N), Delhi, May 13, 2023,
Indian Premier League"
"Aman Hakim Khan","c Harpreet Brar b Ellis","16","18","1","1","88.88","Delhi Capitals","59th Match (N), Delhi, May 13, 2023,
Indian Premier League"
"Praveen Dubey","b Ellis","16","20","2","0","80.00","Delhi Capitals","59th Match (N), Delhi, May 13, 2023,
Indian Premier League"
"Kuldeep Yadav","not out","10","17","0","0","58.82","Delhi Capitals","59th Match (N), Delhi, May 13, 2023,
Indian Premier League"
"Mukesh Kumar","not out","6","7","0","0","85.71","Delhi Capitals","59th Match (N), Delhi, May 13, 2023,
Indian Premier League"
"Ishant Sharma","","Did not bat:","","","","","",""
"Virat Kohli","c Jaiswal b Asif","18","19","1","0","94.73","Royal Challengers Bangalore","60th Match (D/N), Jaipur, May 14, 2023,
Indian Premier League"
"Faf du Plessis (c)","c Jaiswal b Asif","55","44","3","2","125.00","Royal Challengers Bangalore","60th Match (D/N), Jaipur, May 14, 2023,
Indian Premier League"
"Glenn Maxwell","b Sandeep Sharma","54","33","5","3","163.63","Royal Challengers Bangalore","60th Match (D/N), Jaipur, May 14, 2023,
Indian Premier League"
"Mahipal Lomror","c Jurel b Zampa","1","2","0","0","50.00","Royal Challengers Bangalore","60th Match (D/N), Jaipur, May 14, 2023,
Indian Premier League"
"Dinesh Karthik †","lbw b Zampa","0","2","0","0","0.00","Royal Challengers Bangalore","60th Match (D/N), Jaipur, May 14, 2023,
Indian Premier League"
"Michael Bracewell","not out","9","9","0","0","100.00","Royal Challengers Bangalore","60th Match (D/N), Jaipur, May 14, 2023,
Indian Premier League"
"Anuj Rawat","not out","29","11","3","2","263.63","Royal Challengers Bangalore","60th Match (D/N), Jaipur, May 14, 2023,
Indian Premier League"
"Wayne Parnell,","","Did not bat:","","","","","",""
"Karn Sharma,","","Did not bat:","","","","","",""
"Harshal Patel,","","Did not bat:","","","","","",""
"Mohammed Siraj","","Did not bat:","","","","","",""
"Yashasvi Jaiswal","c Kohli b Mohammed Siraj","0","2","0","0","0.00","Rajasthan Royals","60th Match (D/N), Jaipur, May 14, 2023,
Indian Premier League"
"Jos Buttler","c Mohammed Siraj b Parnell","0","2","0","0","0.00","Rajasthan Royals","60th Match (D/N), Jaipur, May 14, 2023,
Indian Premier League"
"Sanju Samson (c)†","c Anuj Rawat b Parnell","4","5","1","0","80.00","Rajasthan Royals","60th Match (D/N), Jaipur, May 14, 2023,
Indian Premier League"
"Joe Root","lbw b Parnell","10","15","1","0","66.66","Rajasthan Royals","60th Match (D/N), Jaipur, May 14, 2023,
Indian Premier League"
"Devdutt Padikkal","c Mohammed Siraj b Bracewell","4","4","1","0","100.00","Rajasthan Royals","60th Match (D/N), Jaipur, May 14, 2023,
Indian Premier League"
"Shimron Hetmyer","c Bracewell b Maxwell","35","19","1","4","184.21","Rajasthan Royals","60th Match (D/N), Jaipur, May 14, 2023,
Indian Premier League"
"Dhruv Jurel","c Lomror b Bracewell","1","7","0","0","14.28","Rajasthan Royals","60th Match (D/N), Jaipur, May 14, 2023,
Indian Premier League"
"Ravichandran Ashwin","run out (Mohammed Siraj/Anuj Rawat)","0","0","0","0","-","Rajasthan Royals","60th Match (D/N), Jaipur, May 14, 2023,
Indian Premier League"
"Adam Zampa","b Sharma","2","6","0","0","33.33","Rajasthan Royals","60th Match (D/N), Jaipur, May 14, 2023,
Indian Premier League"
"Sandeep Sharma","not out","0","1","0","0","0.00","Rajasthan Royals","60th Match (D/N), Jaipur, May 14, 2023,
Indian Premier League"
"KM Asif","c Kohli b Sharma","0","2","0","0","0.00","Rajasthan Royals","60th Match (D/N), Jaipur, May 14, 2023,
Indian Premier League"
"Ruturaj Gaikwad","c Arora b Varun","17","13","2","0","130.76","Chennai Super Kings","61st Match (N), Chennai, May 14, 2023,
Indian Premier League"
"Devon Conway","c Singh b Thakur","30","28","3","0","107.14","Chennai Super Kings","61st Match (N), Chennai, May 14, 2023,
Indian Premier League"
"Ajinkya Rahane","c Roy b Varun","16","11","1","1","145.45","Chennai Super Kings","61st Match (N), Chennai, May 14, 2023,
Indian Premier League"
"Ambati Rayudu","b Narine","4","7","0","0","57.14","Chennai Super Kings","61st Match (N), Chennai, May 14, 2023,
Indian Premier League"
"Shivam Dube","not out","48","34","1","3","141.17","Chennai Super Kings","61st Match (N), Chennai, May 14, 2023,
Indian Premier League"
"Moeen Ali","b Narine","1","2","0","0","50.00","Chennai Super Kings","61st Match (N), Chennai, May 14, 2023,
Indian Premier League"
"Ravindra Jadeja","c Varun b Arora","20","24","0","1","83.33","Chennai Super Kings","61st Match (N), Chennai, May 14, 2023,
Indian Premier League"
"MS Dhoni (c)†","not out","2","3","0","0","66.66","Chennai Super Kings","61st Match (N), Chennai, May 14, 2023,
Indian Premier League"
"Deepak Chahar,","","Did not bat:","","","","","",""
"Tushar Deshpande,","","Did not bat:","","","","","",""
"Maheesh Theekshana","","Did not bat:","","","","","",""
"Jason Roy","c Pathirana b Chahar","12","15","1","0","80.00","Kolkata Knight Riders","61st Match (N), Chennai, May 14, 2023,
Indian Premier League"
"Rahmanullah Gurbaz †","c Deshpande b Chahar","1","4","0","0","25.00","Kolkata Knight Riders","61st Match (N), Chennai, May 14, 2023,
Indian Premier League"
"Venkatesh Iyer","c Jadeja b Chahar","9","4","2","0","225.00","Kolkata Knight Riders","61st Match (N), Chennai, May 14, 2023,
Indian Premier League"
"Nitish Rana (c)","not out","57","44","6","1","129.54","Kolkata Knight Riders","61st Match (N), Chennai, May 14, 2023,
Indian Premier League"
"Rinku Singh","run out (Ali)","54","43","4","3","125.58","Kolkata Knight Riders","61st Match (N), Chennai, May 14, 2023,
Indian Premier League"
"Andre Russell","not out","2","2","0","0","100.00","Kolkata Knight Riders","61st Match (N), Chennai, May 14, 2023,
Indian Premier League"
"Shardul Thakur,","","Did not bat:","","","","","",""
"Sunil Narine,","","Did not bat:","","","","","",""
"Vaibhav Arora,","","Did not bat:","","","","","",""
"Harshit Rana,","","Did not bat:","","","","","",""
"Varun Chakravarthy","","Did not bat:","","","","","",""
"Wriddhiman Saha †","c Abhishek Sharma b Kumar","0","3","0","0","0.00","Gujarat Titans","62nd Match (N), Ahmedabad, May 15, 2023,
Indian Premier League"
"Shubman Gill","c Abdul Samad b Kumar","101","58","13","1","174.13","Gujarat Titans","62nd Match (N), Ahmedabad, May 15, 2023,
Indian Premier League"
"Sai Sudharsan","c Natarajan b Jansen","47","36","6","1","130.55","Gujarat Titans","62nd Match (N), Ahmedabad, May 15, 2023,
Indian Premier League"
"Hardik Pandya (c)","c Tripathi b Kumar","8","6","1","0","133.33","Gujarat Titans","62nd Match (N), Ahmedabad, May 15, 2023,
Indian Premier League"
"David Miller","c Markram b Natarajan","7","5","1","0","140.00","Gujarat Titans","62nd Match (N), Ahmedabad, May 15, 2023,
Indian Premier League"
"Rahul Tewatia","c Jansen b Fazalhaq Farooqi","3","3","0","0","100.00","Gujarat Titans","62nd Match (N), Ahmedabad, May 15, 2023,
Indian Premier League"
"Dasun Shanaka","not out","9","7","1","0","128.57","Gujarat Titans","62nd Match (N), Ahmedabad, May 15, 2023,
Indian Premier League"
"Rashid Khan","c †Klaasen b Kumar","0","1","0","0","0.00","Gujarat Titans","62nd Match (N), Ahmedabad, May 15, 2023,
Indian Premier League"
"Noor Ahmad","run out (†Klaasen/Kumar)","0","1","0","0","0.00","Gujarat Titans","62nd Match (N), Ahmedabad, May 15, 2023,
Indian Premier League"
"Mohammed Shami","c Jansen b Kumar","0","1","0","0","0.00","Gujarat Titans","62nd Match (N), Ahmedabad, May 15, 2023,
Indian Premier League"
"Mohit Sharma","not out","0","1","0","0","0.00","Gujarat Titans","62nd Match (N), Ahmedabad, May 15, 2023,
Indian Premier League"
"Anmolpreet Singh","c Rashid Khan b Mohammed Shami","5","4","1","0","125.00","Sunrisers Hyderabad","62nd Match (N), Ahmedabad, May 15, 2023,
Indian Premier League"
"Abhishek Sharma","c †Saha b Yash Dayal","5","5","1","0","100.00","Sunrisers Hyderabad","62nd Match (N), Ahmedabad, May 15, 2023,
Indian Premier League"
"Aiden Markram (c)","c Shanaka b Mohammed Shami","10","10","1","0","100.00","Sunrisers Hyderabad","62nd Match (N), Ahmedabad, May 15, 2023,
Indian Premier League"
"Rahul Tripathi","c Tewatia b Mohammed Shami","1","2","0","0","50.00","Sunrisers Hyderabad","62nd Match (N), Ahmedabad, May 15, 2023,
Indian Premier League"
"Heinrich Klaasen †","c Miller b Mohammed Shami","64","44","4","3","145.45","Sunrisers Hyderabad","62nd Match (N), Ahmedabad, May 15, 2023,
Indian Premier League"
"Sanvir Singh","c Sai Sudharsan b Sharma","7","6","0","1","116.66","Sunrisers Hyderabad","62nd Match (N), Ahmedabad, May 15, 2023,
Indian Premier League"
"Abdul Samad","c sub (Shivam Mavi) b Sharma","4","3","1","0","133.33","Sunrisers Hyderabad","62nd Match (N), Ahmedabad, May 15, 2023,
Indian Premier League"
"Marco Jansen","c Pandya b Sharma","3","6","0","0","50.00","Sunrisers Hyderabad","62nd Match (N), Ahmedabad, May 15, 2023,
Indian Premier League"
"Bhuvneshwar Kumar","c Rashid Khan b Sharma","27","26","3","0","103.84","Sunrisers Hyderabad","62nd Match (N), Ahmedabad, May 15, 2023,
Indian Premier League"
"Mayank Markande","not out","18","9","2","1","200.00","Sunrisers Hyderabad","62nd Match (N), Ahmedabad, May 15, 2023,
Indian Premier League"
"Fazalhaq Farooqi","not out","1","5","0","0","20.00","Sunrisers Hyderabad","62nd Match (N), Ahmedabad, May 15, 2023,
Indian Premier League"
"Deepak Hooda","c David b Behrendorff","5","7","0","0","71.42","Lucknow Super Giants","63rd Match (N), Lucknow, May 16, 2023,
Indian Premier League"
"Quinton de Kock †","c †Ishan Kishan b Chawla","16","15","0","2","106.66","Lucknow Super Giants","63rd Match (N), Lucknow, May 16, 2023,
Indian Premier League"
"Prerak Mankad","c †Ishan Kishan b Behrendorff","0","1","0","0","0.00","Lucknow Super Giants","63rd Match (N), Lucknow, May 16, 2023,
Indian Premier League"
"Krunal Pandya (c)","retired hurt","49","42","1","1","116.66","Lucknow Super Giants","63rd Match (N), Lucknow, May 16, 2023,
Indian Premier League"
"Marcus Stoinis","not out","89","47","4","8","189.36","Lucknow Super Giants","63rd Match (N), Lucknow, May 16, 2023,
Indian Premier League"
"Nicholas Pooran","not out","8","8","1","0","100.00","Lucknow Super Giants","63rd Match (N), Lucknow, May 16, 2023,
Indian Premier League"
"Ayush Badoni,","","Did not bat:","","","","","",""
"Naveen-ul-Haq,","","Did not bat:","","","","","",""
"Ravi Bishnoi,","","Did not bat:","","","","","",""
"Swapnil Singh,","","Did not bat:","","","","","",""
"Mohsin Khan","","Did not bat:","","","","","",""
"Ishan Kishan †","c Naveen-ul-Haq b Ravi Bishnoi","59","39","8","1","151.28","Mumbai Indians","63rd Match (N), Lucknow, May 16, 2023,
Indian Premier League"
"Rohit Sharma (c)","c Hooda b Ravi Bishnoi","37","25","1","3","148.00","Mumbai Indians","63rd Match (N), Lucknow, May 16, 2023,
Indian Premier League"
"Suryakumar Yadav","b Yash Thakur","7","9","0","0","77.77","Mumbai Indians","63rd Match (N), Lucknow, May 16, 2023,
Indian Premier League"
"Nehal Wadhera","c sub (K Gowtham) b Mohsin Khan","16","20","2","0","80.00","Mumbai Indians","63rd Match (N), Lucknow, May 16, 2023,
Indian Premier League"
"Tim David","not out","32","19","1","3","168.42","Mumbai Indians","63rd Match (N), Lucknow, May 16, 2023,
Indian Premier League"
"Vishnu Vinod","c Pooran b Yash Thakur","2","4","0","0","50.00","Mumbai Indians","63rd Match (N), Lucknow, May 16, 2023,
Indian Premier League"
"Cameron Green","not out","4","6","0","0","66.66","Mumbai Indians","63rd Match (N), Lucknow, May 16, 2023,
Indian Premier League"
"Chris Jordan,","","Did not bat:","","","","","",""
"Hrithik Shokeen,","","Did not bat:","","","","","",""
"Piyush Chawla,","","Did not bat:","","","","","",""
"Jason Behrendorff","","Did not bat:","","","","","",""
"David Warner (c)","c Dhawan b Curran","46","31","5","2","148.38","Delhi Capitals","64th Match (N), Dharamsala, May 17, 2023,
Indian Premier League"
"Prithvi Shaw","c Taide b Curran","54","38","7","1","142.10","Delhi Capitals","64th Match (N), Dharamsala, May 17, 2023,
Indian Premier League"
"Rilee Rossouw","not out","82","37","6","6","221.62","Delhi Capitals","64th Match (N), Dharamsala, May 17, 2023,
Indian Premier League"
"Phil Salt †","not out","26","14","2","2","185.71","Delhi Capitals","64th Match (N), Dharamsala, May 17, 2023,
Indian Premier League"
"Axar Patel,","","Did not bat:","","","","","",""
"Aman Hakim Khan,","","Did not bat:","","","","","",""
"Yash Dhull,","","Did not bat:","","","","","",""
"Kuldeep Yadav,","","Did not bat:","","","","","",""
"Anrich Nortje,","","Did not bat:","","","","","",""
"Ishant Sharma,","","Did not bat:","","","","","",""
"Khaleel Ahmed","","Did not bat:","","","","","",""
"Prabhsimran Singh","c Dhull b Patel","22","19","4","0","115.78","Punjab Kings","64th Match (N), Dharamsala, May 17, 2023,
Indian Premier League"
"Shikhar Dhawan (c)","c Aman Hakim Khan b Sharma","0","1","0","0","0.00","Punjab Kings","64th Match (N), Dharamsala, May 17, 2023,
Indian Premier League"
"Atharva Taide","retired out","55","42","5","2","130.95","Punjab Kings","64th Match (N), Dharamsala, May 17, 2023,
Indian Premier League"
"Liam Livingstone","c Patel b Sharma","94","48","5","9","195.83","Punjab Kings","64th Match (N), Dharamsala, May 17, 2023,
Indian Premier League"
"Jitesh Sharma †","c Ahmed b Nortje","0","3","0","0","0.00","Punjab Kings","64th Match (N), Dharamsala, May 17, 2023,
Indian Premier League"
"M Shahrukh Khan","c Patel b Ahmed","6","3","0","1","200.00","Punjab Kings","64th Match (N), Dharamsala, May 17, 2023,
Indian Premier League"
"Sam Curran","b Nortje","11","5","1","1","220.00","Punjab Kings","64th Match (N), Dharamsala, May 17, 2023,
Indian Premier League"
"Harpreet Brar","run out (†Salt/Nortje)","0","1","0","0","0.00","Punjab Kings","64th Match (N), Dharamsala, May 17, 2023,
Indian Premier League"
"Rahul Chahar","not out","0","0","0","0","-","Punjab Kings","64th Match (N), Dharamsala, May 17, 2023,
Indian Premier League"
"Kagiso Rabada,","","Did not bat:","","","","","",""
"Arshdeep Singh","","Did not bat:","","","","","",""
"Abhishek Sharma","c Lomror b Bracewell","11","14","2","0","78.57","Sunrisers Hyderabad","65th Match (N), Hyderabad, May 18, 2023,
Indian Premier League"
"Rahul Tripathi","c Patel b Bracewell","15","12","2","1","125.00","Sunrisers Hyderabad","65th Match (N), Hyderabad, May 18, 2023,
Indian Premier League"
"Aiden Markram (c)","b Shahbaz Ahmed","18","20","0","0","90.00","Sunrisers Hyderabad","65th Match (N), Hyderabad, May 18, 2023,
Indian Premier League"
"Heinrich Klaasen †","b Patel","104","51","8","6","203.92","Sunrisers Hyderabad","65th Match (N), Hyderabad, May 18, 2023,
Indian Premier League"
"Harry Brook","not out","27","19","2","1","142.10","Sunrisers Hyderabad","65th Match (N), Hyderabad, May 18, 2023,
Indian Premier League"
"Glenn Phillips","c Parnell b Mohammed Siraj","5","4","1","0","125.00","Sunrisers Hyderabad","65th Match (N), Hyderabad, May 18, 2023,
Indian Premier League"
"Abdul Samad,","","Did not bat:","","","","","",""
"Bhuvneshwar Kumar,","","Did not bat:","","","","","",""
"Kartik Tyagi,","","Did not bat:","","","","","",""
"Mayank Dagar,","","Did not bat:","","","","","",""
"Nitish Kumar Reddy","","Did not bat:","","","","","",""
"Virat Kohli","c Phillips b Kumar","100","63","12","4","158.73","Royal Challengers Bangalore","65th Match (N), Hyderabad, May 18, 2023,
Indian Premier League"
"Faf du Plessis (c)","c Tripathi b Natarajan","71","47","7","2","151.06","Royal Challengers Bangalore","65th Match (N), Hyderabad, May 18, 2023,
Indian Premier League"
"Glenn Maxwell","not out","5","3","1","0","166.66","Royal Challengers Bangalore","65th Match (N), Hyderabad, May 18, 2023,
Indian Premier League"
"Michael Bracewell","not out","4","4","0","0","100.00","Royal Challengers Bangalore","65th Match (N), Hyderabad, May 18, 2023,
Indian Premier League"
"Mahipal Lomror,","","Did not bat:","","","","","",""
"Anuj Rawat †,","","Did not bat:","","","","","",""
"Shahbaz Ahmed,","","Did not bat:","","","","","",""
"Harshal Patel,","","Did not bat:","","","","","",""
"Wayne Parnell,","","Did not bat:","","","","","",""
"Karn Sharma,","","Did not bat:","","","","","",""
"Mohammed Siraj","","Did not bat:","","","","","",""
"Prabhsimran Singh","c & b Boult","2","2","0","0","100.00","Punjab Kings","66th Match (N), Dharamsala, May 19, 2023,
Indian Premier League"
"Shikhar Dhawan (c)","lbw b Zampa","17","12","2","1","141.66","Punjab Kings","66th Match (N), Dharamsala, May 19, 2023,
Indian Premier League"
"Atharva Taide","c Padikkal b Saini","19","12","3","1","158.33","Punjab Kings","66th Match (N), Dharamsala, May 19, 2023,
Indian Premier League"
"Liam Livingstone","b Saini","9","13","1","0","69.23","Punjab Kings","66th Match (N), Dharamsala, May 19, 2023,
Indian Premier League"
"Sam Curran","not out","49","31","4","2","158.06","Punjab Kings","66th Match (N), Dharamsala, May 19, 2023,
Indian Premier League"
"Jitesh Sharma †","c sub (D Ferreira) b Saini","44","28","3","3","157.14","Punjab Kings","66th Match (N), Dharamsala, May 19, 2023,
Indian Premier League"
"M Shahrukh Khan","not out","41","23","4","2","178.26","Punjab Kings","66th Match (N), Dharamsala, May 19, 2023,
Indian Premier League"
"Harpreet Brar,","","Did not bat:","","","","","",""
"Rahul Chahar,","","Did not bat:","","","","","",""
"Kagiso Rabada,","","Did not bat:","","","","","",""
"Arshdeep Singh","","Did not bat:","","","","","",""
"Yashasvi Jaiswal","c sub (R Dhawan) b Ellis","50","36","8","0","138.88","Rajasthan Royals","66th Match (N), Dharamsala, May 19, 2023,
Indian Premier League"
"Jos Buttler","lbw b Rabada","0","4","0","0","0.00","Rajasthan Royals","66th Match (N), Dharamsala, May 19, 2023,
Indian Premier League"
"Devdutt Padikkal","c Harpreet Brar b Arshdeep Singh","51","30","5","3","170.00","Rajasthan Royals","66th Match (N), Dharamsala, May 19, 2023,
Indian Premier League"
"Sanju Samson (c)†","c sub (R Dhawan) b Chahar","2","3","0","0","66.66","Rajasthan Royals","66th Match (N), Dharamsala, May 19, 2023,
Indian Premier League"
"Shimron Hetmyer","c Dhawan b Curran","46","28","4","3","164.28","Rajasthan Royals","66th Match (N), Dharamsala, May 19, 2023,
Indian Premier League"
"Riyan Parag","c Taide b Rabada","20","12","1","2","166.66","Rajasthan Royals","66th Match (N), Dharamsala, May 19, 2023,
Indian Premier League"
"Dhruv Jurel","not out","10","4","0","1","250.00","Rajasthan Royals","66th Match (N), Dharamsala, May 19, 2023,
Indian Premier League"
"Trent Boult","not out","1","2","0","0","50.00","Rajasthan Royals","66th Match (N), Dharamsala, May 19, 2023,
Indian Premier League"
"Adam Zampa,","","Did not bat:","","","","","",""
"Navdeep Saini,","","Did not bat:","","","","","",""
"Sandeep Sharma","","Did not bat:","","","","","",""
"Ruturaj Gaikwad","c Rossouw b Sakariya","79","50","3","7","158.00","Chennai Super Kings","67th Match (D/N), Delhi, May 20, 2023,
Indian Premier League"
"Devon Conway","c Aman Hakim Khan b Nortje","87","52","11","3","167.30","Chennai Super Kings","67th Match (D/N), Delhi, May 20, 2023,
Indian Premier League"
"Shivam Dube","c Lalit Yadav b Ahmed","22","9","0","3","244.44","Chennai Super Kings","67th Match (D/N), Delhi, May 20, 2023,
Indian Premier League"
"MS Dhoni (c)†","not out","5","4","0","0","125.00","Chennai Super Kings","67th Match (D/N), Delhi, May 20, 2023,
Indian Premier League"
"Ravindra Jadeja","not out","20","7","3","1","285.71","Chennai Super Kings","67th Match (D/N), Delhi, May 20, 2023,
Indian Premier League"
"Ajinkya Rahane,","","Did not bat:","","","","","",""
"Moeen Ali,","","Did not bat:","","","","","",""
"Ambati Rayudu,","","Did not bat:","","","","","",""
"Deepak Chahar,","","Did not bat:","","","","","",""
"Tushar Deshpande,","","Did not bat:","","","","","",""
"Maheesh Theekshana","","Did not bat:","","","","","",""
"Prithvi Shaw","c Rayudu b Deshpande","5","7","1","0","71.42","Delhi Capitals","67th Match (D/N), Delhi, May 20, 2023,
Indian Premier League"
"David Warner (c)","c Gaikwad b Pathirana","86","58","7","5","148.27","Delhi Capitals","67th Match (D/N), Delhi, May 20, 2023,
Indian Premier League"
"Phil Salt †","c Rahane b Chahar","3","6","0","0","50.00","Delhi Capitals","67th Match (D/N), Delhi, May 20, 2023,
Indian Premier League"
"Rilee Rossouw","b Chahar","0","1","0","0","0.00","Delhi Capitals","67th Match (D/N), Delhi, May 20, 2023,
Indian Premier League"
"Yash Dhull","c Deshpande b Jadeja","13","15","1","0","86.66","Delhi Capitals","67th Match (D/N), Delhi, May 20, 2023,
Indian Premier League"
"Axar Patel","c Gaikwad b Chahar","15","8","1","1","187.50","Delhi Capitals","67th Match (D/N), Delhi, May 20, 2023,
Indian Premier League"
